mlbam_id,1B,2B,3B,C,CF,DH,LF,RF,SS,OF,RP,SP
547173,0,2,0,0,0,1,1,1,0,2,0,0
547179,0,0,0,0,0,0,0,0,0,0,0,18
547180,0,0,0,0,0,90,0,8,0,8,0,0
547184,0,0,0,0,0,0,0,0,0,0,4,0
547379,0,0,0,20,0,0,0,0,0,0,0,0
547943,0,0,0,0,0,0,0,0,0,0,0,6
547973,0,0,0,0,0,0,0,0,0,0,43,0
547989,128,0,0,0,0,29,0,0,0,0,0,0
548384,0,0,0,0,0,0,0,0,0,0,60,0
548389,0,0,0,0,0,0,0,0,0,0,8,24
552640,0,0,0,0,0,0,0,0,0,0,17,0
553869,0,0,0,104,0,0,0,0,0,0,0,0
553882,0,0,0,83,0,1,0,0,0,0,0,0
553902,3,8,10,0,0,1,0,0,0,0,2,0
553988,0,0,0,0,0,0,0,0,5,0,0,0
553993,0,0,130,0,0,19,0,0,0,0,0,0
554340,0,0,0,0,0,0,0,0,0,0,61,0
554430,0,0,0,0,0,0,0,0,0,0,0,26
554431,0,0,0,0,0,0,0,0,0,0,42,0
570257,0,0,0,0,0,0,0,0,0,0,55,0
570481,1,2,7,0,0,0,0,0,8,0,0,0
570482,0,0,136,0,0,4,0,0,2,0,0,0
570488,0,0,0,0,0,0,0,0,0,0,13,0
570560,0,14,2,0,0,0,0,0,1,0,1,0
570632,0,0,0,0,0,0,0,0,0,0,4,17
570663,0,0,0,0,0,0,0,0,0,0,26,0
570666,0,0,0,0,0,0,0,0,0,0,36,10
570731,2,129,0,0,0,1,0,0,0,0,0,0
571439,0,0,0,0,0,0,0,0,0,0,1,0
571446,0,0,0,0,0,0,0,0,0,0,6,0
571448,0,0,131,0,0,17,0,0,0,0,0,0
571466,0,0,1,92,0,0,0,0,0,0,1,0
571479,0,0,0,0,0,0,0,0,0,0,58,1
571510,0,0,0,0,0,0,0,0,0,0,10,0
571578,0,0,0,0,0,0,0,0,0,0,0,31
571602,1,0,9,0,0,2,0,0,0,0,0,0
571616,0,0,0,0,0,0,0,0,0,0,1,0
571656,0,0,0,0,0,0,0,0,0,0,44,0
571657,2,0,36,0,0,10,0,0,98,0,0,0
571670,0,0,0,0,0,0,0,0,0,0,56,0
571704,0,0,0,0,0,0,0,0,0,0,5,0
571710,0,0,0,0,0,0,0,0,0,0,58,1
571740,0,3,1,0,5,5,12,0,0,17,0,0
571745,0,0,0,0,0,12,0,47,0,47,0,0
571760,0,0,0,0,0,0,0,0,0,0,2,14
