mlbam_id,1B,2B,3B,C,CF,DH,LF,SP,RF,SS,OF,RP
664208,0,0,0,0,0,0,0,23,0,0,0,23
664238,3,10,2,0,1,0,13,0,13,3,27,0
664247,0,0,0,0,0,1,5,0,5,0,10,0
664285,0,0,0,0,0,0,0,11,0,0,0,1
664299,0,0,0,0,0,0,0,12,0,0,0,2
664314,0,0,0,0,1,0,0,0,0,0,1,0
664334,0,0,0,0,2,0,0,0,0,0,2,0
664337,0,0,0,0,0,0,0,3,0,0,0,3
664350,0,0,0,0,0,0,0,7,0,0,0,0
664353,0,0,0,0,0,0,0,5,0,0,0,0
664682,0,0,0,0,0,0,0,2,0,0,0,2
664702,0,0,0,0,27,2,0,0,0,1,27,0
664714,0,0,0,0,0,0,0,5,0,0,0,1
664761,7,0,38,0,0,1,0,0,0,0,0,0
664774,4,0,0,0,4,0,3,0,2,0,9,0
664854,0,0,0,0,0,0,0,12,0,0,0,12
664856,0,0,0,0,0,0,0,6,0,0,0,6
664901,0,28,3,0,0,0,0,0,0,4,0,0
664913,3,0,0,0,0,1,0,0,0,0,0,0
664918,0,0,0,0,0,0,0,2,0,0,0,2
664948,0,0,0,0,0,0,0,21,0,0,0,21
664977,0,0,0,0,0,0,0,5,0,0,0,5
665001,0,0,0,0,0,0,0,4,0,0,0,4
665093,0,0,0,0,0,0,0,5,0,0,0,5
665120,29,0,0,0,0,1,0,0,2,0,2,0
665152,0,0,0,0,0,0,0,4,0,0,0,0
665487,0,0,0,0,0,2,0,0,0,57,0,0
665489,34,0,0,0,0,23,0,0,0,0,0,0
665506,0,0,0,0,0,0,2,0,0,0,2,0
665561,0,0,0,3,0,0,0,0,0,0,0,0
665620,0,0,0,0,0,0,0,6,0,0,0,0
665621,0,0,0,0,0,0,0,15,0,0,0,13
665733,0,0,0,0,0,0,0,3,0,0,0,2
665742,0,0,0,0,0,5,36,0,6,0,42,0
665750,0,0,0,0,33,0,0,0,0,0,33,0
665759,0,0,0,0,0,0,0,7,0,0,0,6
