mlbam_id,W,L,CG,SHO,SV,BS,HLD,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP
460024,2,3,0,0,0,4,14,37.1,31,17,16,6,9,0,40,3,0,2
640455,7,9,0,0,0,0,0,144.2,135,65,62,20,37,1,124,4,0,3
592533,1,2,0,0,0,0,0,25.2,28,11,11,5,9,0,15,1,0,0
517593,11,6,0,0,0,0,0,137.1,121,61,59,16,63,3,161,2,3,9
543022,12,9,0,0,0,0,0,158.0,147,75,68,15,70,2,117,5,0,7
543037,7,10,1,0,0,0,0,116.0,131,57,50,7,36,3,98,6,1,5
664641,5,2,0,0,0,0,0,58.0,47,28,25,12,18,0,44,0,0,2
533167,9,13,1,1,0,0,0,160.0,166,71,69,18,30,1,143,7,0,2
282332,9,12,0,0,0,0,0,179.2,172,83,78,22,65,1,152,9,1,2
477569,3,7,0,0,6,5,20,73.2,63,32,32,12,19,1,64,0,0,1
534812,7,7,0,0,2,1,9,59.2,55,27,26,8,22,2,42,0,0,2
446399,1,7,0,0,0,4,9,36.2,39,17,16,6,8,0,45,2,0,0
573188,0,1,0,0,0,0,3,18.1,18,8,8,1,6,1,14,1,0,0
468396,2,1,0,0,0,0,3,32.0,32,18,14,2,23,5,29,1,0,3
592130,0,0,0,0,0,0,1,13.2,14,6,6,0,5,0,14,0,0,1
430641,2,4,0,0,1,2,5,66.0,80,30,29,4,17,3,26,1,0,0
543456,2,0,0,0,0,0,0,25.0,25,11,11,2,12,1,15,2,0,2
594951,0,1,0,0,0,0,0,25.0,18,13,11,3,10,0,24,1,1,2
548389,5,9,0,0,0,0,0,100.0,96,46,44,10,30,3,74,1,0,6
573124,3,1,0,0,0,0,9,61.1,63,29,27,7,16,3,64,5,0,1
605200,11,7,0,0,0,0,0,163.1,166,79,72,20,38,0,135,6,0,3
444857,7,4,0,0,0,1,0,77.0,87,42,34,10,19,3,56,3,0,0
446099,6,4,0,0,3,7,15,65.2,65,30,29,6,30,1,60,3,0,4
605232,10,11,1,0,0,0,0,172.0,150,86,76,29,84,2,145,4,2,6
456034,17,9,2,0,0,0,0,230.0,227,106,102,30,50,1,228,7,0,4
502028,6,5,0,0,1,5,15,76.2,72,38,34,9,38,3,81,2,0,8
543118,1,0,0,0,0,1,0,18.0,11,11,8,2,7,0,21,0,0,1
570240,0,0,0,0,1,0,2,9.0,5,4,4,1,3,1,13,0,0,1
534947,4,4,0,0,0,0,0,69.2,64,32,31,13,20,1,47,5,0,0
605164,10,6,0,0,0,0,3,109.2,109,52,49,18,42,4,104,6,0,0
572362,1,2,0,0,0,0,0,15.2,12,7,7,3,3,0,13,0,0,2
502042,9,19,0,0,0,0,0,201.1,183,100,90,30,67,0,233,3,0,11
607074,9,10,0,0,0,0,0,165.0,176,82,74,23,54,3,168,6,1,11
518560,4,5,0,0,0,1,0,71.1,72,39,32,14,31,0,53,4,1,4
598264,4,3,0,0,1,1,16,66.2,62,32,30,6,31,1,71,3,0,4
488846,1,0,0,0,0,0,0,13.1,13,6,6,2,3,1,10,0,0,1
425657,1,3,0,0,1,2,20,26.2,24,13,12,3,15,0,15,2,0,0
465657,5,8,0,0,1,7,20,66.2,70,31,30,10,27,0,68,2,3,2
425856,2,4,0,0,0,1,6,31.0,23,14,14,4,8,1,30,3,0,4
605397,4,4,0,0,0,0,0,62.0,59,28,28,9,16,0,55,3,0,0
519043,13,12,0,0,0,0,0,198.1,184,93,90,25,72,1,178,6,1,6
434442,1,1,0,0,0,0,2,50.2,56,23,23,4,15,2,44,3,0,3
553878,1,6,0,0,1,3,26,77.0,66,39,35,7,33,3,92,6,0,3
518748,2,1,0,0,0,0,10,52.2,47,24,24,5,23,2,65,1,0,7
571704,2,5,0,0,15,5,18,65.2,60,32,30,8,25,1,102,2,0,14
608665,10,11,2,1,0,0,0,186.0,196,87,85,22,47,2,108,7,0,2
449104,2,2,0,0,0,2,11,35.0,34,17,16,7,14,0,40,2,1,0
547874,16,12,0,0,0,0,0,199.0,218,95,91,28,46,3,147,5,0,4
276351,7,6,0,0,4,4,23,59.0,44,28,27,10,32,1,81,2,0,2
592826,8,6,1,1,0,0,0,131.0,129,64,60,21,45,1,152,1,0,3
425626,1,1,0,0,0,1,1,24.0,23,11,11,7,15,2,27,1,0,1
458677,4,5,0,0,1,5,25,58.2,61,29,27,6,17,2,65,1,0,4
571561,2,5,0,0,17,6,8,63.0,54,30,29,5,37,1,49,3,1,3
594857,1,0,0,0,0,0,1,21.2,24,10,10,2,13,2,11,1,0,0
450203,1,1,0,0,0,0,0,17.1,15,8,8,1,8,0,19,0,1,1
489294,1,1,0,0,1,0,2,8.2,6,4,4,0,3,1,5,0,0,2
592872,1,3,0,0,0,1,1,17.1,14,8,8,2,11,1,14,0,0,0
467100,12,8,3,0,1,0,0,162.0,175,81,75,23,28,1,127,9,0,10
572140,3,4,0,0,0,0,0,49.2,51,23,23,5,23,0,50,2,0,0
547749,3,2,0,0,0,2,16,49.2,47,23,23,9,14,1,54,1,0,4
571670,0,1,0,0,0,0,0,15.0,23,8,7,0,5,1,14,0,0,2
641771,5,4,0,0,0,0,0,70.2,73,34,33,7,20,0,53,4,0,2
451775,2,0,0,0,0,0,5,40.2,30,19,19,3,17,0,37,1,0,2
449173,3,2,0,0,0,0,0,47.0,46,24,22,4,25,0,36,4,0,5
425426,6,0,0,0,0,0,0,53.1,60,27,25,6,18,0,30,2,0,1
592836,8,11,1,1,0,0,0,134.1,129,75,63,27,37,2,119,8,1,4
594792,2,0,0,0,0,0,0,17.0,14,9,8,2,9,1,16,2,0,1
607192,0,2,0,0,0,0,0,23.1,22,13,11,2,13,0,24,3,1,2
594943,2,4,0,0,2,1,0,70.0,72,35,33,9,6,0,27,1,1,2
572308,2,3,0,0,0,1,5,23.1,17,11,11,4,16,0,22,0,1,2
542953,2,0,0,0,0,0,2,36.0,35,21,17,3,7,1,37,1,0,1
545333,12,8,1,0,0,0,0,190.0,179,96,90,20,70,1,168,9,0,3
523989,4,5,0,0,0,0,0,50.2,43,26,24,8,20,1,54,4,1,2
518715,3,2,0,0,3,4,15,48.1,42,24,23,4,14,2,45,1,0,1
544150,3,5,0,0,0,0,1,84.0,84,42,40,11,26,5,54,4,0,1
455009,4,2,0,0,0,3,12,60.2,52,32,29,7,24,5,57,3,0,1
592314,9,5,0,0,0,0,0,123.1,125,61,59,18,35,2,111,6,1,13
592811,1,1,0,0,0,0,0,56.1,56,30,27,5,13,1,55,3,0,2
489002,1,0,0,0,0,0,1,16.2,13,8,8,3,11,0,17,0,0,1
451783,0,0,0,0,0,0,0,8.1,12,4,4,0,5,0,8,0,0,2
543408,9,13,0,0,0,0,0,176.2,176,93,85,22,83,7,147,5,0,9
543521,13,10,1,0,0,0,0,184.2,206,92,89,25,54,1,177,5,0,9
623439,1,2,0,0,1,0,2,39.1,44,20,19,5,11,2,33,0,0,2
500724,3,4,0,0,2,4,13,78.2,77,41,38,12,22,2,59,4,0,7
572102,0,1,0,0,0,0,0,39.1,40,24,19,9,27,2,42,2,0,3
570666,4,4,0,0,0,0,0,70.1,64,36,34,16,14,0,46,3,0,2
643325,0,0,0,0,0,0,0,10.1,11,5,5,3,2,0,5,1,0,1
573668,1,0,0,0,0,0,0,10.1,10,6,5,0,5,0,6,2,0,0
573046,2,2,0,0,0,1,13,55.2,52,31,27,6,15,1,49,1,1,1
425844,13,7,1,1,0,0,0,158.2,161,80,77,23,41,3,134,0,0,1
573186,9,10,0,0,0,0,0,204.0,209,104,99,21,54,0,166,4,1,9
542882,8,8,1,1,1,0,4,127.2,131,64,62,17,25,1,109,1,4,3
449097,2,4,0,0,19,3,1,35.0,37,18,17,3,14,3,31,0,0,1
502624,9,11,0,0,0,0,0,151.2,155,83,74,28,53,0,120,4,0,4
527048,10,11,0,0,0,0,0,198.2,205,110,97,18,76,0,103,4,2,3
458708,13,9,0,0,0,0,0,174.0,187,97,85,36,20,2,118,3,0,4
445060,8,14,1,1,0,0,0,197.2,202,104,97,26,44,0,144,5,0,7
527055,1,4,0,0,10,4,0,38.2,37,25,19,3,26,3,50,1,1,3
593140,8,1,0,0,0,3,5,65.0,55,33,32,10,22,0,95,0,0,6
445926,2,2,0,0,0,3,11,67.0,71,36,33,12,18,3,63,2,0,1
517414,5,2,0,0,0,3,7,75.0,77,39,37,8,36,3,68,2,0,7
570649,11,12,2,0,0,0,0,186.0,190,96,92,23,78,1,144,8,1,13
285079,10,15,0,0,0,0,0,169.2,169,97,84,28,63,0,126,6,1,5
572096,2,4,0,0,14,4,0,40.1,48,22,20,3,29,0,56,3,0,0
571666,11,8,0,0,0,0,0,168.2,187,89,84,26,42,0,134,7,0,17
456379,0,0,0,0,0,0,0,2.0,2,3,1,1,2,0,1,0,0,0
444520,0,2,0,0,0,1,2,14.0,21,9,7,1,4,0,7,0,0,2
475138,0,0,0,0,0,0,0,2.0,1,1,1,0,4,0,2,0,0,0
594027,0,0,0,0,0,0,0,2.0,3,1,1,0,1,0,0,0,0,0
624586,1,1,0,0,0,1,1,22.0,16,12,11,5,9,1,28,1,0,3
456124,0,0,0,0,0,0,0,2.0,5,2,1,0,0,0,1,0,0,2
504379,10,7,0,0,0,2,6,118.0,117,64,59,15,45,3,138,7,0,3
433589,3,5,0,0,1,1,1,62.0,67,33,31,12,15,3,49,0,1,3
502593,0,0,0,0,0,0,1,8.0,8,5,4,1,8,0,7,0,0,3
607727,1,0,0,0,0,0,0,4.0,5,2,2,1,1,0,3,1,0,0
490063,6,8,0,0,0,0,0,101.2,117,67,51,11,36,2,70,3,0,3
